Model name,Wins,Points
ga_generation_0_nn_8.keras, 0, 259
ga_generation_0_nn_15.keras, 1, 278
ga_generation_0_nn_10.keras, 3, 405
ga_generation_0_nn_11.keras, 0, 258
ga_generation_0_nn_9.keras, 0, 293
ga_generation_0_nn_2.keras, 1, 395
ga_generation_0_nn_4.keras, 2, 388
ga_generation_0_nn_14.keras, 3, 376
ga_generation_0_nn_6.keras, 0, 230
ga_generation_0_nn_3.keras, 1, 314
ga_generation_0_nn_1.keras, 1, 346
ga_generation_0_nn_16.keras, 1, 338
ga_generation_0_nn_12.keras, 1, 321
ga_generation_0_nn_5.keras, 0, 299
ga_generation_0_nn_13.keras, 2, 334
ga_generation_0_nn_7.keras, 0, 309
ga_generation_0_nn_4.keras, 1, 295
ga_generation_1_nn_13.keras, 0, 293
ga_generation_1_nn_8.keras, 0, 305
ga_generation_0_nn_1.keras, 0, 285
ga_generation_1_nn_11.keras, 3, 399
ga_generation_1_nn_14.keras, 1, 287
ga_generation_1_nn_9.keras, 2, 383
ga_generation_1_nn_12.keras, 2, 338
ga_generation_0_nn_10.keras, 0, 302
ga_generation_0_nn_14.keras, 2, 310
ga_generation_1_nn_10.keras, 2, 400
ga_generation_0_nn_2.keras, 1, 335
ga_generation_1_nn_15.keras, 2, 407
ga_generation_1_nn_16.keras, 0, 272
ga_generation_0_nn_13.keras, 2, 407
ga_generation_1_nn_7.keras, 0, 300
ga_generation_1_nn_9.keras, 0, 319
ga_generation_0_nn_13.keras, 1, 285
ga_generation_2_nn_8.keras, 2, 313
ga_generation_2_nn_7.keras, 1, 342
ga_generation_2_nn_13.keras, 1, 333
ga_generation_1_nn_10.keras, 1, 256
ga_generation_2_nn_15.keras, 2, 387
ga_generation_2_nn_14.keras, 2, 337
ga_generation_1_nn_15.keras, 1, 265
ga_generation_2_nn_10.keras, 2, 291
ga_generation_1_nn_11.keras, 1, 326
ga_generation_2_nn_9.keras, 0, 327
ga_generation_2_nn_12.keras, 0, 270
ga_generation_2_nn_16.keras, 0, 285
ga_generation_1_nn_12.keras, 1, 276
ga_generation_2_nn_11.keras, 1, 319
ga_generation_2_nn_8.keras, 4, 400
ga_generation_3_nn_7.keras, 1, 295
ga_generation_3_nn_13.keras, 0, 285
ga_generation_3_nn_10.keras, 0, 298
ga_generation_2_nn_15.keras, 3, 375
ga_generation_2_nn_10.keras, 1, 255
ga_generation_2_nn_13.keras, 1, 336
ga_generation_3_nn_11.keras, 1, 268
ga_generation_3_nn_12.keras, 2, 327
ga_generation_3_nn_8.keras, 3, 370
ga_generation_2_nn_14.keras, 2, 378
ga_generation_3_nn_16.keras, 1, 295
ga_generation_3_nn_9.keras, 1, 348
ga_generation_2_nn_7.keras, 1, 352
ga_generation_3_nn_15.keras, 1, 318
ga_generation_3_nn_14.keras, 0, 295
ga_generation_4_nn_7.keras, 0, 289
ga_generation_3_nn_8.keras, 1, 320
ga_generation_4_nn_13.keras, 0, 339
ga_generation_2_nn_14.keras, 2, 310
ga_generation_4_nn_9.keras, 2, 338
ga_generation_2_nn_7.keras, 0, 301
ga_generation_4_nn_16.keras, 2, 373
ga_generation_4_nn_8.keras, 1, 300
ga_generation_4_nn_10.keras, 3, 420
ga_generation_2_nn_8.keras, 0, 260
ga_generation_4_nn_12.keras, 2, 342
ga_generation_2_nn_15.keras, 1, 309
ga_generation_4_nn_14.keras, 2, 370
ga_generation_4_nn_15.keras, 1, 295
ga_generation_4_nn_11.keras, 1, 272
ga_generation_3_nn_12.keras, 0, 349
ga_generation_5_nn_10.keras, 1, 284
ga_generation_4_nn_9.keras, 0, 260
ga_generation_5_nn_7.keras, 0, 262
ga_generation_4_nn_10.keras, 1, 329
ga_generation_5_nn_9.keras, 0, 257
ga_generation_4_nn_16.keras, 2, 320
ga_generation_2_nn_14.keras, 1, 317
ga_generation_4_nn_12.keras, 0, 301
ga_generation_5_nn_13.keras, 3, 356
ga_generation_5_nn_16.keras, 0, 342
ga_generation_5_nn_8.keras, 0, 229
ga_generation_5_nn_11.keras, 1, 333
ga_generation_5_nn_15.keras, 2, 294
ga_generation_5_nn_12.keras, 0, 277
ga_generation_4_nn_14.keras, 1, 273
ga_generation_5_nn_14.keras, 0, 252
ga_generation_6_nn_8.keras, 1, 335
ga_generation_4_nn_10.keras, 3, 385
ga_generation_6_nn_7.keras, 1, 309
ga_generation_5_nn_15.keras, 2, 330
ga_generation_6_nn_16.keras, 2, 340
ga_generation_6_nn_13.keras, 0, 324
ga_generation_6_nn_9.keras, 0, 319
ga_generation_6_nn_10.keras, 0, 267
ga_generation_2_nn_14.keras, 0, 320
ga_generation_6_nn_14.keras, 4, 437
ga_generation_6_nn_12.keras, 1, 258
ga_generation_6_nn_11.keras, 2, 396
ga_generation_6_nn_15.keras, 2, 323
ga_generation_5_nn_11.keras, 1, 337
ga_generation_5_nn_13.keras, 1, 332
ga_generation_4_nn_16.keras, 1, 313
ga_generation_6_nn_16.keras, 0, 295
ga_generation_7_nn_9.keras, 2, 399
ga_generation_7_nn_8.keras, 1, 352
ga_generation_7_nn_10.keras, 2, 327
ga_generation_7_nn_13.keras, 1, 373
ga_generation_7_nn_12.keras, 1, 262
ga_generation_7_nn_11.keras, 1, 336
ga_generation_7_nn_15.keras, 2, 412
ga_generation_5_nn_15.keras, 1, 301
ga_generation_4_nn_10.keras, 3, 364
ga_generation_6_nn_14.keras, 1, 353
ga_generation_7_nn_14.keras, 2, 318
ga_generation_7_nn_16.keras, 2, 372
ga_generation_6_nn_15.keras, 2, 377
ga_generation_6_nn_11.keras, 2, 324
ga_generation_7_nn_7.keras, 0, 336
ga_generation_8_nn_7.keras, 2, 362
ga_generation_7_nn_9.keras, 0, 274
ga_generation_8_nn_10.keras, 0, 254
ga_generation_8_nn_13.keras, 2, 327
ga_generation_8_nn_8.keras, 0, 299
ga_generation_8_nn_11.keras, 0, 231
ga_generation_7_nn_16.keras, 2, 350
ga_generation_6_nn_15.keras, 1, 295
ga_generation_8_nn_9.keras, 0, 210
ga_generation_8_nn_14.keras, 0, 237
ga_generation_8_nn_15.keras, 0, 258
ga_generation_8_nn_12.keras, 0, 292
ga_generation_7_nn_10.keras, 1, 265
ga_generation_8_nn_16.keras, 0, 251
ga_generation_7_nn_15.keras, 3, 430
ga_generation_4_nn_10.keras, 2, 328
ga_generation_6_nn_15.keras, 0, 218
ga_generation_9_nn_11.keras, 2, 391
ga_generation_8_nn_7.keras, 3, 376
ga_generation_9_nn_9.keras, 2, 379
ga_generation_9_nn_10.keras, 1, 327
ga_generation_7_nn_15.keras, 1, 303
ga_generation_4_nn_10.keras, 2, 388
ga_generation_9_nn_12.keras, 2, 327
ga_generation_8_nn_13.keras, 0, 205
ga_generation_9_nn_14.keras, 1, 311
ga_generation_9_nn_8.keras, 0, 325
ga_generation_7_nn_16.keras, 0, 301
ga_generation_9_nn_13.keras, 0, 271
ga_generation_9_nn_15.keras, 0, 262
ga_generation_9_nn_16.keras, 1, 313
ga_generation_9_nn_7.keras, 1, 362
ga_generation_10_nn_16.keras, 0, 312
ga_generation_9_nn_7.keras, 0, 262
ga_generation_10_nn_15.keras, 1, 254
ga_generation_9_nn_12.keras, 2, 390
ga_generation_9_nn_9.keras, 2, 372
ga_generation_10_nn_11.keras, 0, 238
ga_generation_10_nn_12.keras, 0, 320
ga_generation_10_nn_8.keras, 2, 425
ga_generation_4_nn_10.keras, 4, 425
ga_generation_10_nn_10.keras, 0, 333
ga_generation_8_nn_7.keras, 0, 305
ga_generation_9_nn_11.keras, 1, 325
ga_generation_10_nn_9.keras, 0, 330
ga_generation_10_nn_14.keras, 2, 314
ga_generation_10_nn_13.keras, 3, 395
ga_generation_10_nn_7.keras, 1, 302
ga_generation_10_nn_14.keras, 1, 313
ga_generation_11_nn_13.keras, 0, 275
ga_generation_11_nn_15.keras, 2, 385
ga_generation_10_nn_13.keras, 0, 300
ga_generation_9_nn_9.keras, 1, 323
ga_generation_11_nn_14.keras, 1, 303
ga_generation_9_nn_12.keras, 0, 268
ga_generation_11_nn_12.keras, 2, 390
ga_generation_11_nn_11.keras, 1, 328
