Model name,Parent model 1,Parent model 2,Crossover ratio,Crossover function,Mutation ratio,Mutation function
'ga_generation_1_nn_7', 'ga_generation_0_nn_1.keras', 'ga_generation_0_nn_13.keras', '1.0', '__average_crossover_and_flat_crossover', '0.0', 'None'
'ga_generation_1_nn_8', 'ga_generation_0_nn_1.keras', 'ga_generation_0_nn_13.keras', '1.0', '__average_crossover_and_flat_crossover', '0.0', 'None'
'ga_generation_1_nn_9', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_10.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_10', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_10.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_11', 'ga_generation_0_nn_1.keras', 'ga_generation_0_nn_13.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_12', 'ga_generation_0_nn_1.keras', 'ga_generation_0_nn_13.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_13', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_10.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_14', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_10.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_15', 'ga_generation_0_nn_13.keras', 'ga_generation_0_nn_14.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_1_nn_16', 'ga_generation_0_nn_13.keras', 'ga_generation_0_nn_14.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_2_nn_7', 'ga_generation_1_nn_10.keras', 'ga_generation_1_nn_15.keras', '0.98989898989899', '__uniform_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_8', 'ga_generation_1_nn_10.keras', 'ga_generation_1_nn_15.keras', '0.98989898989899', '__uniform_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_9', 'ga_generation_1_nn_10.keras', 'ga_generation_1_nn_12.keras', '0.98989898989899', '__one_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_10', 'ga_generation_1_nn_10.keras', 'ga_generation_1_nn_12.keras', '0.98989898989899', '__one_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_11', 'ga_generation_1_nn_10.keras', 'ga_generation_1_nn_11.keras', '0.98989898989899', '__linear_recombination_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_12', 'ga_generation_1_nn_10.keras', 'ga_generation_1_nn_11.keras', '0.98989898989899', '__linear_recombination_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_13', 'ga_generation_1_nn_15.keras', 'ga_generation_1_nn_10.keras', '0.98989898989899', '__linear_recombination_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_14', 'ga_generation_1_nn_15.keras', 'ga_generation_1_nn_10.keras', '0.98989898989899', '__linear_recombination_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_15', 'ga_generation_1_nn_11.keras', 'ga_generation_1_nn_9.keras', '0.98989898989899', '__average_crossover_and_flat_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_16', 'ga_generation_1_nn_11.keras', 'ga_generation_1_nn_9.keras', '0.98989898989899', '__average_crossover_and_flat_crossover', '0.010101010101010102', 'None'
'ga_generation_3_nn_7', 'ga_generation_2_nn_8.keras', 'ga_generation_2_nn_10.keras', '0.9797979797979798', '__arithmetic_crossover', '0.020202020202020204', 'None'
'ga_generation_3_nn_8', 'ga_generation_2_nn_8.keras', 'ga_generation_2_nn_10.keras', '0.9797979797979798', '__arithmetic_crossover', '0.020202020202020204', 'None'
'ga_generation_3_nn_9', 'ga_generation_2_nn_10.keras', 'ga_generation_2_nn_8.keras', '0.9797979797979798', '__average_crossover_and_flat_crossover', '0.020202020202020204', 'None'
'ga_generation_3_nn_10', 'ga_generation_2_nn_10.keras', 'ga_generation_2_nn_8.keras', '0.9797979797979798', '__average_crossover_and_flat_crossover', '0.020202020202020204', 'None'
'ga_generation_3_nn_11', 'ga_generation_2_nn_10.keras', 'ga_generation_2_nn_13.keras', '0.9797979797979798', '__one_point_crossover', '0.020202020202020204', 'None'
'ga_generation_3_nn_12', 'ga_generation_2_nn_10.keras', 'ga_generation_2_nn_13.keras', '0.9797979797979798', '__one_point_crossover', '0.020202020202020204', 'None'
'ga_generation_3_nn_13', 'ga_generation_2_nn_15.keras', 'ga_generation_2_nn_13.keras', '0.9797979797979798', '__uniform_crossover', '0.020202020202020204', 'None'
