Model name,Wins,Points
ga_generation_0_nn_1.keras, 0, 272
ga_generation_0_nn_10.keras, 4, 417
ga_generation_0_nn_13.keras, 0, 289
ga_generation_0_nn_12.keras, 2, 335
ga_generation_0_nn_17.keras, 2, 383
ga_generation_0_nn_15.keras, 3, 379
ga_generation_0_nn_14.keras, 0, 275
ga_generation_0_nn_11.keras, 1, 268
ga_generation_0_nn_16.keras, 1, 312
ga_generation_0_nn_18.keras, 2, 254
ga_generation_0_nn_19.keras, 1, 283
ga_generation_0_nn_3.keras, 0, 298
ga_generation_0_nn_9.keras, 1, 377
ga_generation_0_nn_2.keras, 0, 253
ga_generation_0_nn_8.keras, 1, 283
ga_generation_0_nn_5.keras, 1, 299
ga_generation_0_nn_7.keras, 2, 301
ga_generation_0_nn_6.keras, 2, 349
ga_generation_0_nn_20.keras, 2, 357
ga_generation_0_nn_4.keras, 1, 214
ga_generation_1_nn_6.keras, 1, 407
ga_generation_1_nn_17.keras, 2, 318
ga_generation_1_nn_20.keras, 3, 417
ga_generation_1_nn_13.keras, 3, 403
ga_generation_1_nn_4.keras, 1, 326
ga_generation_1_nn_10.keras, 1, 306
ga_generation_1_nn_5.keras, 0, 285
ga_generation_1_nn_16.keras, 1, 336
ga_generation_1_nn_9.keras, 1, 307
ga_generation_1_nn_1.keras, 2, 363
ga_generation_1_nn_15.keras, 2, 406
ga_generation_1_nn_12.keras, 2, 347
ga_generation_1_nn_19.keras, 1, 407
ga_generation_1_nn_11.keras, 2, 373
ga_generation_1_nn_14.keras, 2, 341
ga_generation_1_nn_3.keras, 3, 416
ga_generation_1_nn_7.keras, 0, 285
ga_generation_1_nn_2.keras, 1, 303
ga_generation_1_nn_8.keras, 1, 251
ga_generation_1_nn_18.keras, 3, 402
ga_generation_2_nn_5.keras, 0, 235
ga_generation_2_nn_15.keras, 1, 290
ga_generation_2_nn_4.keras, 0, 248
ga_generation_2_nn_13.keras, 1, 420
ga_generation_2_nn_8.keras, 0, 241
ga_generation_2_nn_14.keras, 2, 391
ga_generation_2_nn_16.keras, 1, 311
ga_generation_2_nn_10.keras, 1, 288
ga_generation_2_nn_9.keras, 0, 276
ga_generation_2_nn_7.keras, 1, 240
ga_generation_2_nn_18.keras, 3, 381
ga_generation_2_nn_12.keras, 0, 269
ga_generation_2_nn_1.keras, 0, 317
ga_generation_2_nn_6.keras, 1, 320
ga_generation_2_nn_19.keras, 0, 269
ga_generation_2_nn_20.keras, 2, 320
ga_generation_2_nn_2.keras, 1, 280
ga_generation_2_nn_11.keras, 3, 387
ga_generation_2_nn_17.keras, 1, 241
ga_generation_2_nn_3.keras, 1, 319
ga_generation_3_nn_14.keras, 1, 278
ga_generation_3_nn_3.keras, 1, 274
ga_generation_3_nn_4.keras, 1, 324
ga_generation_3_nn_16.keras, 1, 267
ga_generation_3_nn_11.keras, 0, 305
ga_generation_3_nn_5.keras, 2, 324
ga_generation_3_nn_15.keras, 2, 358
ga_generation_3_nn_13.keras, 1, 282
ga_generation_3_nn_20.keras, 5, 411
ga_generation_3_nn_7.keras, 1, 276
ga_generation_3_nn_19.keras, 1, 317
ga_generation_3_nn_12.keras, 1, 258
ga_generation_3_nn_9.keras, 0, 221
ga_generation_3_nn_17.keras, 1, 313
ga_generation_3_nn_8.keras, 1, 355
ga_generation_3_nn_10.keras, 1, 323
ga_generation_3_nn_1.keras, 0, 237
ga_generation_3_nn_18.keras, 2, 388
ga_generation_3_nn_6.keras, 0, 337
ga_generation_3_nn_2.keras, 1, 332
ga_generation_4_nn_8.keras, 1, 340
ga_generation_4_nn_11.keras, 0, 287
ga_generation_4_nn_20.keras, 0, 284
ga_generation_4_nn_4.keras, 2, 372
ga_generation_4_nn_19.keras, 0, 326
ga_generation_4_nn_3.keras, 1, 277
ga_generation_4_nn_13.keras, 1, 281
ga_generation_4_nn_2.keras, 1, 305
