Model name,Parent model 1,Parent model 2,Crossover ratio,Crossover function,Mutation ratio,Mutation function
'ga_generation_1_nn_1', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_10.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_2', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_10.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_3', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_6.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_1_nn_4', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_6.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_1_nn_5', 'ga_generation_0_nn_17.keras', 'ga_generation_0_nn_12.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_6', 'ga_generation_0_nn_17.keras', 'ga_generation_0_nn_12.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_7', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_20.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_8', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_20.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_9', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_17.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_10', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_17.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_11', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_12.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_1_nn_12', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_12.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_1_nn_13', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_6.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_14', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_6.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_15', 'ga_generation_0_nn_20.keras', 'ga_generation_0_nn_17.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_1_nn_16', 'ga_generation_0_nn_20.keras', 'ga_generation_0_nn_17.keras', '1.0', '__multivariate_crossover', '0.0', 'None'
'ga_generation_1_nn_17', 'ga_generation_0_nn_6.keras', 'ga_generation_0_nn_12.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_18', 'ga_generation_0_nn_6.keras', 'ga_generation_0_nn_12.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_19', 'ga_generation_0_nn_15.keras', 'ga_generation_0_nn_17.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_20', 'ga_generation_0_nn_15.keras', 'ga_generation_0_nn_17.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_2_nn_1', 'ga_generation_1_nn_3.keras', 'ga_generation_1_nn_18.keras', '0.98989898989899', '__multivariate_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_2', 'ga_generation_1_nn_3.keras', 'ga_generation_1_nn_18.keras', '0.98989898989899', '__multivariate_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_3', 'ga_generation_1_nn_15.keras', 'ga_generation_1_nn_18.keras', '0.98989898989899', '__arithmetic_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_4', 'ga_generation_1_nn_15.keras', 'ga_generation_1_nn_18.keras', '0.98989898989899', '__arithmetic_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_5', 'ga_generation_1_nn_18.keras', 'ga_generation_1_nn_20.keras', '0.98989898989899', '__multi_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_6', 'ga_generation_1_nn_18.keras', 'ga_generation_1_nn_20.keras', '0.98989898989899', '__multi_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_7', 'ga_generation_1_nn_20.keras', 'ga_generation_1_nn_3.keras', '0.98989898989899', '__multi_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_8', 'ga_generation_1_nn_20.keras', 'ga_generation_1_nn_3.keras', '0.98989898989899', '__multi_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_9', 'ga_generation_1_nn_18.keras', 'ga_generation_1_nn_13.keras', '0.98989898989899', '__multivariate_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_10', 'ga_generation_1_nn_18.keras', 'ga_generation_1_nn_13.keras', '0.98989898989899', '__multivariate_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_11', 'ga_generation_1_nn_13.keras', 'ga_generation_1_nn_3.keras', '0.98989898989899', '__uniform_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_12', 'ga_generation_1_nn_13.keras', 'ga_generation_1_nn_3.keras', '0.98989898989899', '__uniform_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_13', 'ga_generation_1_nn_13.keras', 'ga_generation_1_nn_3.keras', '0.98989898989899', '__arithmetic_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_14', 'ga_generation_1_nn_13.keras', 'ga_generation_1_nn_3.keras', '0.98989898989899', '__arithmetic_crossover', '0.010101010101010102', 'None'
