Model name,Wins,Points
ga_generation_0_nn_1.keras, 3, 466
ga_generation_0_nn_32.keras, 2, 425
ga_generation_0_nn_10.keras, 3, 435
ga_generation_0_nn_9.keras, 5, 593
ga_generation_0_nn_16.keras, 3, 392
ga_generation_0_nn_31.keras, 1, 451
ga_generation_0_nn_13.keras, 3, 572
ga_generation_0_nn_8.keras, 1, 417
ga_generation_0_nn_11.keras, 3, 528
ga_generation_0_nn_23.keras, 1, 415
ga_generation_0_nn_17.keras, 3, 539
ga_generation_0_nn_18.keras, 4, 463
ga_generation_0_nn_2.keras, 3, 529
ga_generation_0_nn_30.keras, 1, 433
ga_generation_0_nn_19.keras, 3, 484
ga_generation_0_nn_22.keras, 4, 510
ga_generation_0_nn_5.keras, 3, 448
ga_generation_0_nn_24.keras, 3, 413
ga_generation_0_nn_15.keras, 0, 412
ga_generation_0_nn_14.keras, 2, 444
ga_generation_0_nn_7.keras, 4, 461
ga_generation_0_nn_21.keras, 2, 409
ga_generation_0_nn_27.keras, 5, 496
ga_generation_0_nn_29.keras, 3, 488
ga_generation_0_nn_3.keras, 0, 369
ga_generation_0_nn_12.keras, 4, 515
ga_generation_0_nn_6.keras, 2, 470
ga_generation_0_nn_25.keras, 2, 479
ga_generation_0_nn_26.keras, 0, 358
ga_generation_0_nn_4.keras, 4, 581
ga_generation_0_nn_28.keras, 1, 492
ga_generation_0_nn_20.keras, 1, 447
ga_generation_1_nn_20.keras, 1, 417
ga_generation_1_nn_21.keras, 1, 444
ga_generation_0_nn_18.keras, 4, 565
ga_generation_1_nn_12.keras, 2, 481
ga_generation_1_nn_14.keras, 3, 457
ga_generation_1_nn_28.keras, 3, 496
ga_generation_1_nn_19.keras, 2, 467
ga_generation_1_nn_13.keras, 2, 463
ga_generation_1_nn_29.keras, 5, 550
ga_generation_1_nn_32.keras, 3, 489
ga_generation_0_nn_22.keras, 3, 455
ga_generation_1_nn_22.keras, 4, 565
ga_generation_0_nn_12.keras, 5, 543
ga_generation_0_nn_4.keras, 3, 473
ga_generation_1_nn_24.keras, 3, 427
ga_generation_1_nn_10.keras, 1, 423
ga_generation_1_nn_8.keras, 3, 513
ga_generation_1_nn_11.keras, 3, 478
ga_generation_1_nn_18.keras, 5, 512
ga_generation_0_nn_27.keras, 2, 424
ga_generation_1_nn_15.keras, 2, 413
ga_generation_1_nn_25.keras, 2, 372
ga_generation_1_nn_7.keras, 3, 480
ga_generation_1_nn_23.keras, 2, 417
ga_generation_1_nn_16.keras, 4, 538
ga_generation_0_nn_9.keras, 4, 535
ga_generation_1_nn_30.keras, 1, 356
ga_generation_1_nn_17.keras, 3, 511
ga_generation_1_nn_26.keras, 5, 534
ga_generation_1_nn_27.keras, 2, 471
ga_generation_1_nn_31.keras, 1, 456
ga_generation_1_nn_9.keras, 3, 526
ga_generation_2_nn_10.keras, 1, 452
ga_generation_2_nn_15.keras, 4, 512
ga_generation_2_nn_32.keras, 4, 508
ga_generation_2_nn_17.keras, 2, 429
ga_generation_2_nn_16.keras, 4, 491
ga_generation_0_nn_12.keras, 3, 547
ga_generation_2_nn_31.keras, 5, 577
ga_generation_2_nn_7.keras, 4, 580
ga_generation_2_nn_9.keras, 1, 326
ga_generation_2_nn_23.keras, 3, 483
ga_generation_2_nn_21.keras, 3, 458
ga_generation_2_nn_14.keras, 4, 478
ga_generation_1_nn_26.keras, 2, 403
ga_generation_2_nn_26.keras, 2, 438
ga_generation_2_nn_18.keras, 2, 395
ga_generation_2_nn_12.keras, 2, 470
ga_generation_2_nn_25.keras, 3, 436
ga_generation_1_nn_29.keras, 3, 510
ga_generation_1_nn_22.keras, 2, 401
ga_generation_2_nn_30.keras, 3, 441
ga_generation_2_nn_11.keras, 5, 540
ga_generation_2_nn_27.keras, 0, 420
ga_generation_2_nn_24.keras, 2, 446
ga_generation_2_nn_19.keras, 1, 409
ga_generation_2_nn_20.keras, 5, 566
ga_generation_1_nn_18.keras, 3, 458
ga_generation_0_nn_18.keras, 1, 448
ga_generation_2_nn_29.keras, 2, 445
ga_generation_2_nn_28.keras, 0, 403
ga_generation_2_nn_13.keras, 0, 356
ga_generation_2_nn_22.keras, 1, 437
