Player_0,Player_1,Wins_p0,Points_p0,Wins_p1,Points_p1,Rules
sl_2c,sl_3c,46,4204,15,2996,0000
sl_2c,sl_3c,37,3929,25,3271,0001
sl_2c,sl_3c,41,3988,19,3212,0010
sl_2c,sl_3c,45,4027,15,3173,0011
sl_2c,sl_3c,38,4391,22,3409,0100
sl_2c,sl_3c,40,4384,22,3416,0101
sl_2c,sl_3c,35,4192,26,3608,0110
sl_2c,sl_3c,41,4376,20,3424,0111
sl_2c,sl_3c,46,4218,18,2982,1000
sl_2c,sl_3c,37,4012,23,3188,1001
sl_2c,sl_3c,39,4028,22,3172,1010
sl_2c,sl_3c,45,4100,15,3100,1011
sl_2c,sl_3c,40,4342,21,3458,1100
sl_2c,sl_3c,41,4283,19,3517,1101
sl_2c,sl_3c,37,4415,23,3385,1110
sl_2c,sl_3c,29,4003,31,3797,1111
sl_2c,ga,48,4579,13,2621,0000
sl_3c,ga,40,4086,21,3114,0000
rl,ga,29,3578,31,3622,0000
rl,sl_2c,15,2846,45,4354,0000
rl,sl_3c,26,3397,34,3803,0000
