Player_0,Player_1,Wins_p0,Points_p0,Wins_p1,Points_p1,Rules
sl_2c,sl_3c,30,3752,34,3848,0000
sl_2c,sl_3c,32,3986,29,3814,0001
sl_2c,sl_3c,37,3905,27,3615,0010
sl_2c,sl_3c,25,3695,36,3865,0011
sl_2c,sl_3c,41,4521,20,3719,0100
sl_2c,sl_3c,37,4545,24,3695,0101
sl_2c,sl_3c,27,4039,34,4121,0110
sl_2c,sl_3c,30,3942,31,4098,0111
sl_2c,sl_3c,33,3749,30,3651,1000
sl_2c,sl_3c,30,3706,30,3974,1001
sl_2c,sl_3c,42,4196,19,3524,1010
sl_2c,sl_3c,34,3756,28,3684,1011
sl_2c,sl_3c,31,4133,31,3907,1100
sl_2c,sl_3c,27,4037,36,4163,1101
sl_2c,sl_3c,26,4167,34,4153,1110
sl_2c,sl_3c,40,4302,23,3778,1111
rl,sl_2c,13,3105,48,4875,0000
rl,sl_3c,9,2975,53,4945,0000
