Player_0,Player_1,Wins_p0,Points_p0,Wins_p1,Points_p1,Rules
sl_2c,sl_3c,39,4265,24,3535,0000
sl_2c,sl_3c,32,3982,29,3618,0001
sl_2c,sl_3c,26,3498,36,4222,0010
sl_2c,sl_3c,31,3676,31,4044,0011
sl_2c,sl_3c,39,4553,22,3767,0100
sl_2c,sl_3c,32,4346,29,4174,0101
sl_2c,sl_3c,31,4056,29,4264,0110
sl_2c,sl_3c,24,4267,36,4093,0111
sl_2c,sl_3c,32,3967,31,3713,1000
sl_2c,sl_3c,37,4264,26,3456,1001
sl_2c,sl_3c,32,4187,30,3653,1010
sl_2c,sl_3c,32,4089,29,3351,1011
sl_2c,sl_3c,38,4119,22,4161,1100
sl_2c,sl_3c,36,4148,28,4132,1101
sl_2c,sl_3c,34,4492,26,3748,1110
sl_2c,sl_3c,25,3666,35,4614,1111
rl,sl_2c,25,3579,35,4561,0000
rl,sl_3c,26,3846,34,3994,0000
